2025-09-02 23:03:58 status unpacked unixodbc-common:all 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:58 status half-configured unixodbc-common:all 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:58 status installed unixodbc-common:all 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:58 configure libsocket++1:amd64 1.12.13+git20131030.5d039ba-1build1 <none>
2025-09-02 23:03:58 status unpacked libsocket++1:amd64 1.12.13+git20131030.5d039ba-1build1
2025-09-02 23:03:58 status half-configured libsocket++1:amd64 1.12.13+git20131030.5d039ba-1build1
2025-09-02 23:03:58 status installed libsocket++1:amd64 1.12.13+git20131030.5d039ba-1build1
2025-09-02 23:03:58 configure libhdf4-0-alt:amd64 4.2.16-4build1 <none>
2025-09-02 23:03:58 status unpacked libhdf4-0-alt:amd64 4.2.16-4build1
2025-09-02 23:03:58 status half-configured libhdf4-0-alt:amd64 4.2.16-4build1
2025-09-02 23:03:58 status installed libhdf4-0-alt:amd64 4.2.16-4build1
2025-09-02 23:03:58 configure libosdcpu3.5.0t64:amd64 3.5.0-2.1build1 <none>
2025-09-02 23:03:58 status unpacked libosdcpu3.5.0t64:amd64 3.5.0-2.1build1
2025-09-02 23:03:58 status half-configured libosdcpu3.5.0t64:amd64 3.5.0-2.1build1
2025-09-02 23:03:58 status installed libosdcpu3.5.0t64:amd64 3.5.0-2.1build1
2025-09-02 23:03:58 configure libodbc2:amd64 2.3.12-1ubuntu0.24.04.1 <none>
2025-09-02 23:03:58 status unpacked libodbc2:amd64 2.3.12-1ubuntu0.24.04.1
